name,date,cases,hospitalizations,deaths,cumulative_hosp
Fairfield,03/08/20,1,,0,
Hartford,03/08/20,0,,0,
Litchfield,03/08/20,0,,0,
Middlesex,03/08/20,0,,0,
New Haven,03/08/20,0,,0,
New London,03/08/20,0,,0,
Tolland,03/08/20,0,,0,
Windham,03/08/20,0,,0,
Connecticut,03/08/20,1,,0,
Fairfield,03/09/20,1,,0,
Hartford,03/09/20,0,,0,
Litchfield,03/09/20,0,,0,
Middlesex,03/09/20,0,,0,
New Haven,03/09/20,0,,0,
New London,03/09/20,0,,0,
Tolland,03/09/20,0,,0,
Windham,03/09/20,0,,0,
Connecticut,03/09/20,1,,0,
Fairfield,03/10/20,1,,0,
Hartford,03/10/20,0,,0,
Litchfield,03/10/20,0,,0,
Middlesex,03/10/20,0,,0,
New Haven,03/10/20,0,,0,
New London,03/10/20,0,,0,
Tolland,03/10/20,0,,0,
Windham,03/10/20,0,,0,
Connecticut,03/10/20,1,,0,
Fairfield,03/11/20,2,,0,
Hartford,03/11/20,0,,0,
Litchfield,03/11/20,1,,0,
Middlesex,03/11/20,0,,0,
New Haven,03/11/20,0,,0,
New London,03/11/20,0,,0,
Tolland,03/11/20,0,,0,
Windham,03/11/20,0,,0,
Connecticut,03/11/20,3,,0,
Fairfield,03/12/20,4,,0,
Hartford,03/12/20,0,,0,
Litchfield,03/12/20,1,,0,
Middlesex,03/12/20,0,,0,
New Haven,03/12/20,0,,0,
New London,03/12/20,0,,0,
Tolland,03/12/20,0,,0,
Windham,03/12/20,0,,0,
Connecticut,03/12/20,5,,0,
Fairfield,03/13/20,5,,0,
Hartford,03/13/20,0,,0,
Litchfield,03/13/20,3,,0,
Middlesex,03/13/20,0,,0,
New Haven,03/13/20,0,,0,
New London,03/13/20,0,,0,
Tolland,03/13/20,0,,0,
Windham,03/13/20,0,,0,
Connecticut,03/13/20,8,,0,
Fairfield,03/14/20,15,,0,
Hartford,03/14/20,1,,0,
Litchfield,03/14/20,3,,0,
Middlesex,03/14/20,0,,0,
New Haven,03/14/20,1,,0,
New London,03/14/20,0,,0,
Tolland,03/14/20,0,,0,
Windham,03/14/20,0,,0,
Connecticut,03/14/20,20,,0,
Fairfield,03/15/20,16,,0,
Hartford,03/15/20,3,,0,
Litchfield,03/15/20,4,,0,
Middlesex,03/15/20,0,,0,
New Haven,03/15/20,3,,0,
New London,03/15/20,0,,0,
Tolland,03/15/20,0,,0,
Windham,03/15/20,0,,0,
Connecticut,03/15/20,26,,0,
Fairfield,03/16/20,29,,0,
Hartford,03/16/20,4,,0,
Litchfield,03/16/20,4,,0,
Middlesex,03/16/20,0,,0,
New Haven,03/16/20,4,,0,
New London,03/16/20,0,,0,
Tolland,03/16/20,0,,0,
Windham,03/16/20,0,,0,
Connecticut,03/16/20,41,,0,
Fairfield,03/17/20,48,,0,
Hartford,03/17/20,7,,0,
Litchfield,03/17/20,5,,0,
Middlesex,03/17/20,0,,0,
New Haven,03/17/20,8,,0,
New London,03/17/20,0,,0,
Tolland,03/17/20,0,,0,
Windham,03/17/20,0,,0,
Connecticut,03/17/20,68,,0,
Fairfield,03/18/20,69,,1,
Hartford,03/18/20,11,,0,
Litchfield,03/18/20,5,,0,
Middlesex,03/18/20,1,,0,
New Haven,03/18/20,10,,0,
New London,03/18/20,0,,0,
Tolland,03/18/20,0,,0,
Windham,03/18/20,0,,0,
Connecticut,03/18/20,96,,1,
Fairfield,03/19/20,102,,4,
Hartford,03/19/20,18,,0,
Litchfield,03/19/20,7,,0,
Middlesex,03/19/20,3,,0,
New Haven,03/19/20,23,,0,
New London,03/19/20,0,,0,
Tolland,03/19/20,4,,0,
Windham,03/19/20,2,,0,
Connecticut,03/19/20,159,,4,
Fairfield,03/20/20,122,,4,
Hartford,03/20/20,29,,0,
Litchfield,03/20/20,8,,0,
Middlesex,03/20/20,5,,0,
New Haven,03/20/20,23,,0,
New London,03/20/20,1,,0,
Tolland,03/20/20,4,,0,
Windham,03/20/20,2,,0,
Connecticut,03/20/20,194,,4,
Fairfield,03/21/20,140,15,4,
Hartford,03/21/20,35,12,0,
Litchfield,03/21/20,11,2,0,
Middlesex,03/21/20,6,3,0,
New Haven,03/21/20,24,9,0,
New London,03/21/20,1,0,0,
Tolland,03/21/20,5,2,1,
Windham,03/21/20,1,0,0,
Connecticut,03/21/20,223,43,5,
Fairfield,03/22/20,208,20,5,
Hartford,03/22/20,54,13,1,
Litchfield,03/22/20,12,3,0,
Middlesex,03/22/20,6,3,0,
New Haven,03/22/20,29,9,0,
New London,03/22/20,3,1,0,
Tolland,03/22/20,14,2,2,
Windham,03/22/20,1,0,0,
Connecticut,03/22/20,327,51,8,
Fairfield,03/23/20,270,20,6,
Hartford,03/23/20,61,13,2,
Litchfield,03/23/20,13,2,0,
Middlesex,03/23/20,8,4,0,
New Haven,03/23/20,41,12,0,
New London,03/23/20,4,1,0,
Tolland,03/23/20,16,2,2,
Windham,03/23/20,2,0,0,
Connecticut,03/23/20,415,54,10,
Fairfield,03/24/20,384,23,7,
Hartford,03/24/20,88,17,2,
Litchfield,03/24/20,22,3,0,
Middlesex,03/24/20,8,4,0,
New Haven,03/24/20,89,19,0,
New London,03/24/20,6,1,0,
Tolland,03/24/20,19,4,3,
Windham,03/24/20,2,0,0,
Connecticut,03/24/20,618,71,12,
Fairfield,03/25/20,546,47,12,
Hartford,03/25/20,116,24,2,
Litchfield,03/25/20,33,3,0,
Middlesex,03/25/20,15,4,0,
New Haven,03/25/20,127,28,2,
New London,03/25/20,9,2,0,
Tolland,03/25/20,27,5,3,
Windham,03/25/20,2,0,0,
Connecticut,03/25/20,875,113,18,
Fairfield,03/26/20,607,49,13,
Hartford,03/26/20,138,27,2,
Litchfield,03/26/20,44,3,0,
